Year,Month,F1_Score,Period,Date
2011,9,1.0,2011-09,2011-09-01
2013,4,1.0,2013-04,2013-04-01
2013,12,1.0,2013-12,2013-12-01
2015,9,1.0,2015-09,2015-09-01
2015,11,1.0,2015-11,2015-11-01
2015,12,1.0,2015-12,2015-12-01
2016,4,1.0,2016-04,2016-04-01
2016,5,1.0,2016-05,2016-05-01
2016,6,0.0,2016-06,2016-06-01
2016,8,1.0,2016-08,2016-08-01
2016,11,1.0,2016-11,2016-11-01
2016,12,1.0,2016-12,2016-12-01
2017,1,0.3333333333333333,2017-01,2017-01-01
2017,4,0.0,2017-04,2017-04-01
2017,7,1.0,2017-07,2017-07-01
2017,8,1.0,2017-08,2017-08-01
2017,9,1.0,2017-09,2017-09-01
2017,10,1.0,2017-10,2017-10-01
2017,11,1.0,2017-11,2017-11-01
2017,12,1.0,2017-12,2017-12-01
2018,3,1.0,2018-03,2018-03-01
2018,4,1.0,2018-04,2018-04-01
2018,5,0.0,2018-05,2018-05-01
2018,6,0.0,2018-06,2018-06-01
2018,7,1.0,2018-07,2018-07-01
2018,8,1.0,2018-08,2018-08-01
2018,9,0.3333333333333333,2018-09,2018-09-01
2018,12,0.0,2018-12,2018-12-01
2019,4,1.0,2019-04,2019-04-01
2019,9,0.0,2019-09,2019-09-01
2019,10,1.0,2019-10,2019-10-01
2019,12,0.3333333333333333,2019-12,2019-12-01
2020,1,0.4,2020-01,2020-01-01
2020,2,1.0,2020-02,2020-02-01
2020,4,0.0,2020-04,2020-04-01
2020,7,1.0,2020-07,2020-07-01
2020,8,1.0,2020-08,2020-08-01
2020,11,1.0,2020-11,2020-11-01
2021,1,1.0,2021-01,2021-01-01
2021,2,1.0,2021-02,2021-02-01
2021,3,1.0,2021-03,2021-03-01
2021,4,1.0,2021-04,2021-04-01
2021,5,1.0,2021-05,2021-05-01
2021,6,1.0,2021-06,2021-06-01
2021,8,0.0,2021-08,2021-08-01
2021,9,1.0,2021-09,2021-09-01
2021,10,0.0,2021-10,2021-10-01
2021,11,1.0,2021-11,2021-11-01
2021,12,1.0,2021-12,2021-12-01
2022,1,0.0,2022-01,2022-01-01
2022,4,1.0,2022-04,2022-04-01
2022,5,1.0,2022-05,2022-05-01
2022,7,1.0,2022-07,2022-07-01
2022,9,1.0,2022-09,2022-09-01
2022,10,1.0,2022-10,2022-10-01
2022,11,1.0,2022-11,2022-11-01
2022,12,0.0,2022-12,2022-12-01
2023,1,0.30303030303030304,2023-01,2023-01-01
2023,2,0.5079365079365079,2023-02,2023-02-01
2023,3,1.0,2023-03,2023-03-01
2023,5,0.4444444444444444,2023-05,2023-05-01
2023,6,0.46153846153846156,2023-06,2023-06-01
2023,7,0.46153846153846156,2023-07,2023-07-01
2023,8,0.4666666666666667,2023-08,2023-08-01
2023,9,0.2,2023-09,2023-09-01
2023,10,0.16666666666666666,2023-10,2023-10-01
