Date,F1_Score
2011-09-22,1.0
2013-04-20,1.0
2013-12-05,1.0
2015-09-28,1.0
2015-11-08,1.0
2015-11-10,1.0
2015-12-18,1.0
2016-04-10,1.0
2016-04-15,1.0
2016-05-15,1.0
2016-06-15,0.0
2016-08-22,1.0
2016-11-22,1.0
2016-12-10,1.0
2016-12-22,1.0
2016-12-25,1.0
2017-01-12,0.0
2017-01-28,0.0
2017-04-10,0.0
2017-07-18,1.0
2017-07-20,1.0
2017-08-18,1.0
2017-09-10,1.0
2017-10-20,1.0
2017-11-01,1.0
2017-11-15,1.0
2017-12-08,1.0
2017-12-28,1.0
2018-03-17,0.0
2018-04-15,1.0
2018-05-10,0.0
2018-06-10,1.0
2018-07-08,1.0
2018-08-18,1.0
2018-09-15,1.0
2018-09-22,1.0
2018-12-02,0.0
2018-12-15,0.0
2019-04-05,1.0
2019-04-27,1.0
2019-09-28,1.0
2019-10-08,1.0
2019-10-25,1.0
2019-12-10,1.0
2019-12-28,0.0
2020-01-05,0.3333333333333333
2020-01-12,1.0
2020-02-22,1.0
2020-04-18,0.0
2020-07-25,1.0
2020-08-18,1.0
2020-08-29,1.0
2020-11-15,1.0
2021-01-15,1.0
2021-02-28,1.0
2021-03-10,1.0
2021-03-15,1.0
2021-04-15,1.0
2021-05-08,1.0
2021-06-19,1.0
2021-08-10,0.0
2021-09-20,1.0
2021-10-02,0.0
2021-11-30,1.0
2021-12-01,1.0
2021-12-08,1.0
2022-01-08,0.0
2022-04-03,1.0
2022-04-18,1.0
2022-05-05,1.0
2022-05-08,1.0
2022-07-05,1.0
2022-07-08,1.0
2022-07-17,1.0
2022-09-28,1.0
2022-10-30,1.0
2022-11-15,1.0
2022-12-01,1.0
2023-01-10,1.0
2023-01-16,1.0
2023-01-17,0.0
2023-01-19,0.0
2023-01-22,1.0
2023-01-24,1.0
2023-01-26,1.0
2023-01-28,1.0
2023-01-29,1.0
2023-01-30,1.0
2023-02-05,1.0
2023-02-10,0.0
2023-02-13,1.0
2023-02-14,1.0
2023-02-15,1.0
2023-02-16,1.0
2023-02-21,0.0
2023-02-25,1.0
2023-03-01,1.0
2023-03-02,0.0
2023-03-05,1.0
2023-03-10,1.0
2023-03-30,1.0
2023-05-22,1.0
2023-05-24,1.0
2023-05-25,0.0
2023-05-26,1.0
2023-05-31,1.0
2023-06-02,0.0
2023-06-03,1.0
2023-06-05,1.0
2023-06-12,1.0
2023-06-15,1.0
2023-06-18,1.0
2023-06-27,1.0
2023-07-03,1.0
2023-07-06,1.0
2023-07-07,1.0
2023-07-09,1.0
2023-07-13,1.0
2023-07-14,0.0
2023-07-18,1.0
2023-08-06,1.0
2023-08-09,1.0
2023-08-11,1.0
2023-08-13,1.0
2023-08-14,1.0
2023-08-18,0.0
2023-08-21,1.0
2023-08-31,1.0
2023-09-03,1.0
2023-09-05,1.0
2023-09-09,0.0
2023-09-16,0.0
2023-09-17,0.0
2023-09-22,0.0
2023-09-26,0.0
2023-09-29,0.0
2023-10-01,0.0
2023-10-02,0.0
2023-10-05,0.0
2023-10-10,0.0
2023-10-12,1.0
2023-10-21,1.0
